nutrition,value,measure,food_product,pr_daily_norm
Vitamin B-12,0.88,UG,anchovy,36.66666666666667
"Choline, total",85.0,MG,anchovy,15.454545454545453
Vitamin K (phylloquinone),12.1,UG,anchovy,10.083333333333332
"Folate, DFE",13.0,UG,anchovy,3.25
Cholesterol,85.0,MG,anchovy,28.333333333333332
"Fatty acids, total saturated",2.2,G,anchovy,11.000000000000002
"Calcium, Ca",646,MG,anise,49.69230769230769
Total lipid (fat),15.9,G,anise,20.384615384615383
"Carbohydrate, by difference",50.0,G,anise,18.181818181818183
"Potassium, K",1440.0,MG,anise,30.638297872340424
"Zinc, Zn",5.3,MG,anise,48.18181818181818
Niacin,3.06,MG,anise,19.125
Pantothenic acid,0.797,MG,anise,15.940000000000001
Protein,17.6,G,anise,35.2
"Fiber, total dietary",14.6,G,anise,52.142857142857146
"Vitamin C, total ascorbic acid",21.0,MG,anise,23.333333333333332
Thiamin,0.34,MG,anise,28.33333333333334
Riboflavin,0.29,MG,anise,22.307692307692307
Vitamin B-12,0.0,UG,anise,0.0
Cholesterol,0.0,MG,anise,0.0
"Iron, Fe",37.0,MG,anise,205.55555555555554
"Magnesium, Mg",170,MG,anise,40.476190476190474
"Phosphorus, P",440,MG,anise,35.199999999999996
"Sodium, Na",16.0,MG,anise,0.6956521739130435
"Copper, Cu",0.91,MG,anise,101.11111111111111
"Manganese, Mn",2.3,MG,anise,100.0
"Selenium, Se",5.0,UG,anise,9.090909090909092
"Fatty acids, total saturated",0.586,G,anise,2.93
"Folate, DFE",10.0,UG,anise,2.5
Vitamin B-6,0.65,MG,anise,38.235294117647065
"Vitamin A, RAE",16.0,UG,anise,1.7777777777777777
Vitamin D (D2 + D3),0.0,UG,anise,0.0
Protein,1.34,G,apple,2.68
Total lipid (fat),2.15,G,apple,2.7564102564102564
"Carbohydrate, by difference",29.6,G,apple,10.763636363636364
"Fiber, total dietary",1.8,G,apple,6.42857142857143
"Calcium, Ca",39.0,MG,apple,3.0
"Iron, Fe",0.12,MG,apple,0.6666666666666666
"Magnesium, Mg",8.0,MG,apple,1.9047619047619049
"Phosphorus, P",37.0,MG,apple,2.96
"Potassium, K",134,MG,apple,2.851063829787234
"Sodium, Na",62.0,MG,apple,2.6956521739130435
"Zinc, Zn",0.14,MG,apple,1.2727272727272727
"Copper, Cu",0.025,MG,apple,2.777777777777778
"Selenium, Se",0.4,UG,apple,0.7272727272727273
"Vitamin A, RAE",5.0,UG,apple,0.5555555555555556
Vitamin E (alpha-tocopherol),0.25,MG,apple,1.6666666666666667
Vitamin D (D2 + D3),0.0,UG,apple,0.0
"Vitamin C, total ascorbic acid",3.6,MG,apple,4.0
Thiamin,0.038,MG,apple,3.166666666666667
Riboflavin,0.084,MG,apple,6.461538461538462
Niacin,0.105,MG,apple,0.65625
Vitamin B-6,0.045,MG,apple,2.6470588235294117
Vitamin B-12,0.08,UG,apple,3.3333333333333335
"Choline, total",4.6,MG,apple,0.8363636363636363
Vitamin K (phylloquinone),2.1,UG,apple,1.7500000000000002
"Folate, DFE",3.0,UG,apple,0.75
Cholesterol,2.0,MG,apple,0.6666666666666667
"Fatty acids, total saturated",0.64,G,apple,3.2
Protein,0.09,G,apple juice,0.18
Total lipid (fat),0.25,G,apple juice,0.3205128205128205
"Carbohydrate, by difference",11.3,G,apple juice,4.109090909090909
"Fiber, total dietary",0.2,G,apple juice,0.7142857142857143
"Calcium, Ca",7.0,MG,apple juice,0.5384615384615384
"Iron, Fe",0.06,MG,apple juice,0.3333333333333333
"Magnesium, Mg",5.0,MG,apple juice,1.1904761904761905
"Phosphorus, P",6.0,MG,apple juice,0.48
"Potassium, K",97.0,MG,apple juice,2.0638297872340425
"Sodium, Na",5.0,MG,apple juice,0.21739130434782608
"Zinc, Zn",0.0,MG,apple juice,0.0
"Copper, Cu",0.005,MG,apple juice,0.5555555555555556
"Selenium, Se",0.1,UG,apple juice,0.18181818181818182
"Vitamin A, RAE",0.0,UG,apple juice,0.0
Vitamin E (alpha-tocopherol),0.01,MG,apple juice,0.06666666666666667
Vitamin D (D2 + D3),0.0,UG,apple juice,0.0
"Vitamin C, total ascorbic acid",38.6,MG,apple juice,42.88888888888889
Thiamin,0.005,MG,apple juice,0.4166666666666667
Riboflavin,0.017,MG,apple juice,1.3076923076923077
Niacin,0.026,MG,apple juice,0.1625
Vitamin B-6,0.015,MG,apple juice,0.8823529411764706
Vitamin B-12,0.0,UG,apple juice,0.0
"Choline, total",1.8,MG,apple juice,0.32727272727272727
Vitamin K (phylloquinone),0.0,UG,apple juice,0.0
"Folate, DFE",2.0,UG,apple juice,0.5
Cholesterol,0.0,MG,apple juice,0.0
"Fatty acids, total saturated",0.022,G,apple juice,0.10999999999999999
Protein,1.4,G,apricot,2.8
Total lipid (fat),0.39,G,apricot,0.5
"Carbohydrate, by difference",11.1,G,apricot,4.036363636363636
"Fiber, total dietary",2.0,G,apricot,7.142857142857142
"Calcium, Ca",13.0,MG,apricot,1.0
"Iron, Fe",0.39,MG,apricot,2.166666666666667
"Magnesium, Mg",10.0,MG,apricot,2.380952380952381
"Phosphorus, P",23.0,MG,apricot,1.8399999999999999
"Potassium, K",259,MG,apricot,5.51063829787234
"Sodium, Na",1.0,MG,apricot,0.043478260869565216
"Zinc, Zn",0.2,MG,apricot,1.8181818181818183
"Copper, Cu",0.078,MG,apricot,8.666666666666668
"Selenium, Se",0.1,UG,apricot,0.18181818181818182
"Vitamin A, RAE",96.0,UG,apricot,10.666666666666668
Vitamin E (alpha-tocopherol),0.89,MG,apricot,5.933333333333334
Vitamin D (D2 + D3),0.0,UG,apricot,0.0
"Vitamin C, total ascorbic acid",10.0,MG,apricot,11.11111111111111
Thiamin,0.03,MG,apricot,2.5
Riboflavin,0.04,MG,apricot,3.0769230769230766
Niacin,0.6,MG,apricot,3.75
Vitamin B-6,0.054,MG,apricot,3.1764705882352944
Vitamin B-12,0.0,UG,apricot,0.0
"Choline, total",2.8,MG,apricot,0.509090909090909
Vitamin K (phylloquinone),3.3,UG,apricot,2.75
"Folate, DFE",9.0,UG,apricot,2.25
Cholesterol,0.0,MG,apricot,0.0
"Fatty acids, total saturated",0.027,G,apricot,0.135
Protein,3.65,G,artichoke,7.3
Total lipid (fat),33.1,G,artichoke,42.43589743589744
"Carbohydrate, by difference",5.47,G,artichoke,1.989090909090909
"Fiber, total dietary",0.9,G,artichoke,3.214285714285715
"Calcium, Ca",101,MG,artichoke,7.769230769230768
"Iron, Fe",0.24,MG,artichoke,1.3333333333333333
"Magnesium, Mg",13.0,MG,artichoke,3.0952380952380953
"Phosphorus, P",88.0,MG,artichoke,7.04
"Potassium, K",120,MG,artichoke,2.553191489361702
"Sodium, Na",601,MG,artichoke,26.130434782608695
"Zinc, Zn",0.53,MG,artichoke,4.818181818181818
"Copper, Cu",0.041,MG,artichoke,4.555555555555555
"Selenium, Se",4.4,UG,artichoke,8.0
"Vitamin A, RAE",62.0,UG,artichoke,6.888888888888889
Vitamin E (alpha-tocopherol),1.27,MG,artichoke,8.466666666666667
Vitamin D (D2 + D3),0.1,UG,artichoke,0.5
"Vitamin C, total ascorbic acid",2.0,MG,artichoke,2.2222222222222223
Thiamin,0.024,MG,artichoke,2.0
Riboflavin,0.1,MG,artichoke,7.6923076923076925
Niacin,0.205,MG,artichoke,1.28125
Vitamin B-6,0.049,MG,artichoke,2.8823529411764706
Vitamin B-12,0.2,UG,artichoke,8.333333333333334
"Choline, total",24.1,MG,artichoke,4.381818181818182
