nutrition,value,measure,food_product
SFA 4:0,0.0,G,duck
SFA 6:0,0.0,G,duck
SFA 8:0,0.0,G,duck
SFA 10:0,0.029,G,duck
SFA 12:0,0.001,G,duck
SFA 14:0,0.001,G,duck
SFA 16:0,0.013,G,duck
SFA 18:0,0.004,G,duck
MUFA 18:1,0.015,G,duck
PUFA 18:2,0.023,G,duck
PUFA 18:3,0.004,G,duck
PUFA 20:4,0.0,G,duck
PUFA 22:6 n-3 (DHA),0.0,G,duck
MUFA 16:1,0.001,G,duck
PUFA 18:4,0.0,G,duck
MUFA 20:1,0.0,G,duck
PUFA 20:5 n-3 (EPA),0.0,G,duck
MUFA 22:1,0.001,G,duck
PUFA 22:5 n-3 (DPA),0.0,G,duck
"Fatty acids, total monounsaturated",0.018,G,duck
"Fatty acids, total polyunsaturated",0.027,G,duck
Riboflavin,0.391,MG,egg
Protein,10.7,G,egg
Ash,0.65,G,egg
"Selenium, Se",17.9,UG,egg
Total lipid (fat),0.0,G,egg
Water,86.3,G,egg
Energy,55.0,KCAL,egg
"Carbohydrate, by difference",2.36,G,egg
Nitrogen,1.71,G,egg
Tryptophan,0.188,G,egg
Tyrosine,0.466,G,egg
Valine,0.779,G,egg
Threonine,0.567,G,egg
Proline,0.494,G,egg
Serine,0.857,G,egg
Phenylalanine,0.726,G,egg
Methionine,0.486,G,egg
Leucine,1.02,G,egg
Lysine,0.822,G,egg
Histidine,0.257,G,egg
Isoleucine,0.609,G,egg
Glutamic acid,1.76,G,egg
Glycine,0.422,G,egg
Aspartic acid,1.33,G,egg
Arginine,0.691,G,egg
Alanine,0.714,G,egg
Hydroxyproline,0.0,G,egg
Cysteine,0.407,G,egg
Protein,2.46,G,egg nog
Ash,0.65,G,egg nog
"Sodium, Na",61.0,MG,egg nog
Total lipid (fat),1.64,G,egg nog
"Carbohydrate, by difference",12.3,G,egg nog
Energy,310,kJ,egg nog
Water,83.0,G,egg nog
"Sugars, Total",9.84,G,egg nog
"Potassium, K",123,MG,egg nog
Vitamin D (D2 + D3),0.0,UG,egg nog
"Calcium, Ca",16.0,MG,egg nog
"Zinc, Zn",0.0,MG,egg nog
"Selenium, Se",0.0,UG,egg nog
"Vitamin D (D2 + D3), International Units",0.0,IU,egg nog
"Vitamin C, total ascorbic acid",0.0,MG,egg nog
Riboflavin,0.0,MG,egg nog
"Folate, total",0.0,UG,egg nog
Vitamin B-12,0.0,UG,egg nog
"Folate, food",0.0,UG,egg nog
Cholesterol,0.0,MG,egg nog
"Fatty acids, total trans",0.0,G,egg nog
"Fatty acids, total saturated",0.0,G,egg nog
"Vitamin A, IU",0.0,IU,egg nog
"Fiber, total dietary",0.0,G,egg nog
"Iron, Fe",0.3,MG,egg nog
"Magnesium, Mg",0.0,MG,egg nog
Protein,4.26,G,eggplant
Total lipid (fat),13.2,G,eggplant
"Carbohydrate, by difference",9.56,G,eggplant
Energy,162,KCAL,eggplant
"Alcohol, ethyl",0.0,G,eggplant
Water,70.9,G,eggplant
Caffeine,0.0,MG,eggplant
Theobromine,0.0,MG,eggplant
"Sugars, total including NLEA",2.81,G,eggplant
"Fiber, total dietary",4.1,G,eggplant
"Calcium, Ca",97.0,MG,eggplant
"Iron, Fe",2.08,MG,eggplant
"Magnesium, Mg",30.0,MG,eggplant
"Phosphorus, P",167,MG,eggplant
"Potassium, K",265,MG,eggplant
"Sodium, Na",219,MG,eggplant
"Zinc, Zn",1.07,MG,eggplant
"Copper, Cu",0.387,MG,eggplant
"Selenium, Se",7.2,UG,eggplant
Retinol,0.0,UG,eggplant
"Vitamin A, RAE",7.0,UG,eggplant
"Carotene, beta",82.0,UG,eggplant
"Carotene, alpha",0.0,UG,eggplant
Vitamin E (alpha-tocopherol),0.77,MG,eggplant
Vitamin D (D2 + D3),0.0,UG,eggplant
"Cryptoxanthin, beta",0.0,UG,eggplant
Lycopene,0.0,UG,eggplant
Lutein + zeaxanthin,96.0,UG,eggplant
"Vitamin C, total ascorbic acid",7.1,MG,eggplant
Thiamin,0.275,MG,eggplant
Riboflavin,0.123,MG,eggplant
Niacin,1.55,MG,eggplant
Vitamin B-6,0.106,MG,eggplant
"Folate, total",37.0,UG,eggplant
Vitamin B-12,0.0,UG,eggplant
"Choline, total",11.0,MG,eggplant
Vitamin K (phylloquinone),24.0,UG,eggplant
Folic acid,0.0,UG,eggplant
"Folate, food",37.0,UG,eggplant
"Folate, DFE",37.0,UG,eggplant
"Vitamin E, added",0.0,MG,eggplant
"Vitamin B-12, added",0.0,UG,eggplant
Cholesterol,0.0,MG,eggplant
"Fatty acids, total saturated",1.9,G,eggplant
SFA 4:0,0.0,G,eggplant
SFA 6:0,0.0,G,eggplant
SFA 8:0,0.0,G,eggplant
SFA 10:0,0.002,G,eggplant
SFA 12:0,0.0,G,eggplant
SFA 14:0,0.027,G,eggplant
SFA 16:0,1.27,G,eggplant
SFA 18:0,0.521,G,eggplant
MUFA 18:1,5.58,G,eggplant
PUFA 18:2,4.88,G,eggplant
PUFA 18:3,0.107,G,eggplant
PUFA 20:4,0.0,G,eggplant
PUFA 22:6 n-3 (DHA),0.0,G,eggplant
MUFA 16:1,0.059,G,eggplant
PUFA 18:4,0.0,G,eggplant
MUFA 20:1,0.022,G,eggplant
PUFA 20:5 n-3 (EPA),0.0,G,eggplant
MUFA 22:1,0.0,G,eggplant
PUFA 22:5 n-3 (DPA),0.0,G,eggplant
"Fatty acids, total monounsaturated",5.67,G,eggplant
"Fatty acids, total polyunsaturated",4.99,G,eggplant
Folic acid,0.0,UG,endive
SFA 4:0,0.0,G,endive
SFA 6:0,0.0,G,endive
SFA 10:0,0.0,G,endive
PUFA 20:4,0.0,G,endive
PUFA 18:4,0.0,G,endive
MUFA 20:1,0.0,G,endive
MUFA 22:1,0.0,G,endive
SFA 8:0,0.0,G,endive
SFA 12:0,0.0,G,endive
PUFA 22:6 n-3 (DHA),0.0,G,endive
MUFA 16:1,0.0,G,endive
PUFA 20:5 n-3 (EPA),0.0,G,endive
PUFA 22:5 n-3 (DPA),0.0,G,endive
"Vitamin D (D2 + D3), International Units",0.0,IU,endive
"Folate, food",142,UG,endive
"Vitamin A, IU",2170.0,IU,endive
"Vitamin A, RAE",108,UG,endive
Energy,17.0,KCAL,endive
"Choline, total",16.8,MG,endive
"Folate, DFE",142,UG,endive
"Alcohol, ethyl",0.0,G,endive
Retinol,0.0,UG,endive
"Fatty acids, total trans",0.0,G,endive
Isoleucine,0.072,G,endive
Leucine,0.098,G,endive
Lysine,0.063,G,endive
Cystine,0.01,G,endive
Valine,0.063,G,endive
Arginine,0.062,G,endive
Histidine,0.023,G,endive
Aspartic acid,0.13,G,endive
Serine,0.049,G,endive
Niacin,0.4,MG,endive
Pantothenic acid,0.9,MG,endive
Vitamin B-6,0.02,MG,endive
"Calcium, Ca",52.0,MG,endive
"Potassium, K",314,MG,endive
"Zinc, Zn",0.79,MG,endive
"Fatty acids, total monounsaturated",0.004,G,endive
"Fatty acids, total polyunsaturated",0.087,G,endive
SFA 16:0,0.041,G,endive
SFA 18:0,0.002,G,endive
MUFA 18:1,0.004,G,endive
PUFA 18:2,0.075,G,endive
PUFA 18:3,0.013,G,endive
Total lipid (fat),0.2,G,endive
Water,93.8,G,endive
Riboflavin,0.075,MG,endive
"Folate, total",142,UG,endive
Vitamin B-12,0.0,UG,endive
Tryptophan,0.005,G,endive
Threonine,0.05,G,endive
Methionine,0.014,G,endive
Phenylalanine,0.053,G,endive
Tyrosine,0.04,G,endive
Alanine,0.062,G,endive
Glutamic acid,0.166,G,endive
Glycine,0.058,G,endive
Proline,0.059,G,endive
"Fatty acids, total saturated",0.048,G,endive
SFA 14:0,0.003,G,endive
Cholesterol,0.0,MG,endive
"Vitamin C, total ascorbic acid",6.5,MG,endive
Thiamin,0.08,MG,endive
Protein,1.25,G,endive
Ash,1.41,G,endive
"Fiber, total dietary",3.1,G,endive
"Iron, Fe",0.83,MG,endive
"Magnesium, Mg",15.0,MG,endive
"Phosphorus, P",28.0,MG,endive
"Sodium, Na",22.0,MG,endive
"Copper, Cu",0.099,MG,endive
"Manganese, Mn",0.42,MG,endive
"Vitamin B-12, added",0.0,UG,endive
"Vitamin E, added",0.0,MG,endive
Vitamin D (D2 + D3),0.0,UG,endive
"Selenium, Se",0.2,UG,endive
Vitamin K (phylloquinone),231,UG,endive
"Cryptoxanthin, beta",0.0,UG,endive
Lycopene,0.0,UG,endive
"Carotene, beta",1300.0,UG,endive
"Carotene, alpha",0.0,UG,endive
Vitamin E (alpha-tocopherol),0.44,MG,endive
Lutein + zeaxanthin,0.0,UG,endive
Caffeine,0.0,MG,endive
Theobromine,0.0,MG,endive
"Sugars, Total",0.25,G,endive
"Carbohydrate, by difference",3.35,G,endive
Protein,1.12,G,escarole
Total lipid (fat),2.72,G,escarole
"Carbohydrate, by difference",2.98,G,escarole
Energy,37.0,KCAL,escarole
"Alcohol, ethyl",0.0,G,escarole
Water,91.6,G,escarole
Caffeine,0.0,MG,escarole
Theobromine,0.0,MG,escarole
"Sugars, total including NLEA",0.23,G,escarole
"Fiber, total dietary",2.7,G,escarole
"Calcium, Ca",45.0,MG,escarole
"Iron, Fe",0.7,MG,escarole
"Magnesium, Mg",13.0,MG,escarole
"Phosphorus, P",22.0,MG,escarole
"Potassium, K",238,MG,escarole
"Sodium, Na",139,MG,escarole
"Zinc, Zn",0.67,MG,escarole
"Copper, Cu",0.084,MG,escarole
"Selenium, Se",0.2,UG,escarole
Retinol,11.0,UG,escarole
"Vitamin A, RAE",102,UG,escarole
"Carotene, beta",1100.0,UG,escarole
"Carotene, alpha",0.0,UG,escarole
Vitamin E (alpha-tocopherol),0.73,MG,escarole
Vitamin D (D2 + D3),0.0,UG,escarole
"Cryptoxanthin, beta",0.0,UG,escarole
Lycopene,0.0,UG,escarole
Lutein + zeaxanthin,0.0,UG,escarole
"Vitamin C, total ascorbic acid",3.2,MG,escarole
Thiamin,0.057,MG,escarole
Riboflavin,0.06,MG,escarole
Niacin,0.302,MG,escarole
Vitamin B-6,0.032,MG,escarole
"Folate, total",76.0,UG,escarole
Vitamin B-12,0.0,UG,escarole
"Choline, total",15.1,MG,escarole
Vitamin K (phylloquinone),207,UG,escarole
Folic acid,0.0,UG,escarole
"Folate, food",76.0,UG,escarole
"Folate, DFE",76.0,UG,escarole
"Vitamin E, added",0.0,MG,escarole
"Vitamin B-12, added",0.0,UG,escarole
Cholesterol,2.0,MG,escarole
"Fatty acids, total saturated",0.711,G,escarole
SFA 4:0,0.018,G,escarole
SFA 6:0,0.013,G,escarole
SFA 8:0,0.007,G,escarole
SFA 10:0,0.017,G,escarole
SFA 12:0,0.02,G,escarole
SFA 14:0,0.067,G,escarole
SFA 16:0,0.405,G,escarole
SFA 18:0,0.139,G,escarole
MUFA 18:1,0.843,G,escarole
PUFA 18:2,0.738,G,escarole
PUFA 18:3,0.097,G,escarole
PUFA 20:4,0.001,G,escarole
PUFA 22:6 n-3 (DHA),0.0,G,escarole
MUFA 16:1,0.014,G,escarole
PUFA 18:4,0.0,G,escarole
MUFA 20:1,0.012,G,escarole
PUFA 20:5 n-3 (EPA),0.0,G,escarole
MUFA 22:1,0.0,G,escarole
PUFA 22:5 n-3 (DPA),0.0,G,escarole
"Fatty acids, total monounsaturated",0.877,G,escarole
"Fatty acids, total polyunsaturated",0.835,G,escarole
Protein,0.0,G,fall
Total lipid (fat),0.0,G,fall
"Carbohydrate, by difference",12.1,G,fall
Energy,50.0,KCAL,fall
"Sugars, Total",10.8,G,fall
"Iron, Fe",0.21,MG,fall
"Potassium, K",112,MG,fall
"Sodium, Na",8.0,MG,fall
"Sugars, added",0.0,G,fall
Protein,1.42,G,fennel
Total lipid (fat),3.22,G,fennel
"Carbohydrate, by difference",8.32,G,fennel
Energy,62.0,KCAL,fennel
"Alcohol, ethyl",0.0,G,fennel
Water,85.5,G,fennel
Caffeine,0.0,MG,fennel
Theobromine,0.0,MG,fennel
"Sugars, total including NLEA",4.48,G,fennel
"Fiber, total dietary",3.5,G,fennel
"Calcium, Ca",56.0,MG,fennel
"Iron, Fe",0.84,MG,fennel
"Magnesium, Mg",19.0,MG,fennel
"Phosphorus, P",57.0,MG,fennel
"Potassium, K",472,MG,fennel
"Sodium, Na",202,MG,fennel
"Zinc, Zn",0.23,MG,fennel
"Copper, Cu",0.075,MG,fennel
"Selenium, Se",0.8,UG,fennel
Retinol,13.0,UG,fennel
"Vitamin A, RAE",65.0,UG,fennel
"Carotene, beta",631,UG,fennel
"Carotene, alpha",0.0,UG,fennel
Vitamin E (alpha-tocopherol),1.06,MG,fennel
Vitamin D (D2 + D3),0.0,UG,fennel
"Cryptoxanthin, beta",0.0,UG,fennel
Lycopene,0.0,UG,fennel
Lutein + zeaxanthin,657,UG,fennel
"Vitamin C, total ascorbic acid",11.6,MG,fennel
Thiamin,0.01,MG,fennel
Riboflavin,0.035,MG,fennel
Niacin,0.693,MG,fennel
Vitamin B-6,0.067,MG,fennel
"Folate, total",26.0,UG,fennel
Vitamin B-12,0.0,UG,fennel
"Choline, total",15.3,MG,fennel
Vitamin K (phylloquinone),74.1,UG,fennel
Folic acid,0.0,UG,fennel
"Folate, food",26.0,UG,fennel
"Folate, DFE",26.0,UG,fennel
"Vitamin E, added",0.0,MG,fennel
"Vitamin B-12, added",0.0,UG,fennel
Cholesterol,2.0,MG,fennel
"Fatty acids, total saturated",0.891,G,fennel
SFA 4:0,0.021,G,fennel
SFA 6:0,0.015,G,fennel
SFA 8:0,0.009,G,fennel
SFA 10:0,0.02,G,fennel
SFA 12:0,0.024,G,fennel
SFA 14:0,0.077,G,fennel
SFA 16:0,0.523,G,fennel
SFA 18:0,0.171,G,fennel
MUFA 18:1,1.06,G,fennel
PUFA 18:2,0.982,G,fennel
PUFA 18:3,0.101,G,fennel
PUFA 20:4,0.001,G,fennel
PUFA 22:6 n-3 (DHA),0.0,G,fennel
MUFA 16:1,0.019,G,fennel
PUFA 18:4,0.0,G,fennel
MUFA 20:1,0.014,G,fennel
PUFA 20:5 n-3 (EPA),0.0,G,fennel
MUFA 22:1,0.0,G,fennel
PUFA 22:5 n-3 (DPA),0.0,G,fennel
"Fatty acids, total monounsaturated",1.1,G,fennel
"Fatty acids, total polyunsaturated",1.08,G,fennel
Folic acid,0.0,UG,feta
Vitamin E (alpha-tocopherol),0.18,MG,feta
Lutein + zeaxanthin,0.0,UG,feta
Caffeine,0.0,MG,feta
Theobromine,0.0,MG,feta
"Carotene, beta",3.0,UG,feta
"Carotene, alpha",0.0,UG,feta
"Cryptoxanthin, beta",0.0,UG,feta
Lycopene,0.0,UG,feta
Vitamin K (phylloquinone),1.8,UG,feta
PUFA 18:4,0.0,G,feta
MUFA 20:1,0.0,G,feta
MUFA 22:1,0.0,G,feta
PUFA 22:6 n-3 (DHA),0.0,G,feta
PUFA 20:5 n-3 (EPA),0.0,G,feta
PUFA 22:5 n-3 (DPA),0.0,G,feta
"Choline, total",15.4,MG,feta
"Vitamin D (D2 + D3), International Units",16.0,IU,feta
"Folate, DFE",32.0,UG,feta
"Folate, food",32.0,UG,feta
Vitamin D3 (cholecalciferol),0.4,UG,feta
Vitamin D (D2 + D3),0.4,UG,feta
"Vitamin A, IU",422,IU,feta
Retinol,125,UG,feta
"Vitamin A, RAE",125,UG,feta
"Alcohol, ethyl",0.0,G,feta
SFA 4:0,0.714,G,feta
SFA 6:0,0.528,G,feta
SFA 10:0,1.82,G,feta
"Sugars, Total",0.0,G,feta
Total lipid (fat),21.5,G,feta
"Carbohydrate, by difference",3.88,G,feta
Energy,1110.0,kJ,feta
SFA 16:0,4.75,G,feta
SFA 18:0,1.37,G,feta
"Fatty acids, total saturated",13.3,G,feta
SFA 8:0,0.503,G,feta
SFA 12:0,1.07,G,feta
SFA 14:0,2.54,G,feta
"Sodium, Na",1140.0,MG,feta
"Vitamin B-12, added",0.0,UG,feta
"Vitamin E, added",0.0,MG,feta
Water,55.2,G,feta
"Calcium, Ca",493,MG,feta
"Potassium, K",62.0,MG,feta
"Zinc, Zn",2.88,MG,feta
Niacin,0.991,MG,feta
Pantothenic acid,0.967,MG,feta
Vitamin B-6,0.424,MG,feta
Isoleucine,0.803,G,feta
Leucine,1.4,G,feta
Lysine,1.22,G,feta
Cystine,0.083,G,feta
Valine,1.06,G,feta
Arginine,0.47,G,feta
Histidine,0.397,G,feta
Aspartic acid,0.779,G,feta
Serine,1.17,G,feta
MUFA 18:1,3.98,G,feta
PUFA 18:2,0.326,G,feta
PUFA 18:3,0.265,G,feta
PUFA 20:4,0.0,G,feta
"Fatty acids, total monounsaturated",4.62,G,feta
"Fatty acids, total polyunsaturated",0.591,G,feta
Cholesterol,89.0,MG,feta
MUFA 16:1,0.385,G,feta
Tryptophan,0.2,G,feta
Threonine,0.637,G,feta
Methionine,0.368,G,feta
Phenylalanine,0.675,G,feta
Tyrosine,0.668,G,feta
Alanine,0.639,G,feta
Glutamic acid,2.42,G,feta
Glycine,0.097,G,feta
Proline,1.38,G,feta
Protein,14.2,G,feta
Ash,5.2,G,feta
"Copper, Cu",0.032,MG,feta
"Manganese, Mn",0.028,MG,feta
"Fiber, total dietary",0.0,G,feta
"Iron, Fe",0.65,MG,feta
"Magnesium, Mg",19.0,MG,feta
"Phosphorus, P",337,MG,feta
"Vitamin C, total ascorbic acid",0.0,MG,feta
Thiamin,0.154,MG,feta
Riboflavin,0.844,MG,feta
"Folate, total",32.0,UG,feta
Vitamin B-12,1.69,UG,feta
"Selenium, Se",15.0,UG,feta
Protein,0.56,G,fig
Total lipid (fat),0.24,G,fig
"Carbohydrate, by difference",19.4,G,fig
Energy,76.0,KCAL,fig
"Alcohol, ethyl",0.0,G,fig
Water,79.3,G,fig
Caffeine,0.0,MG,fig
Theobromine,0.0,MG,fig
"Sugars, total including NLEA",17.2,G,fig
"Fiber, total dietary",2.2,G,fig
"Calcium, Ca",26.0,MG,fig
"Iron, Fe",0.28,MG,fig
"Magnesium, Mg",13.0,MG,fig
"Phosphorus, P",10.0,MG,fig
"Potassium, K",157,MG,fig
"Sodium, Na",1.0,MG,fig
"Zinc, Zn",0.11,MG,fig
"Copper, Cu",0.049,MG,fig
"Selenium, Se",0.2,UG,fig
Retinol,0.0,UG,fig
"Vitamin A, RAE",4.0,UG,fig
"Carotene, beta",54.0,UG,fig
"Carotene, alpha",0.0,UG,fig
Vitamin E (alpha-tocopherol),0.08,MG,fig
Vitamin D (D2 + D3),0.0,UG,fig
"Cryptoxanthin, beta",0.0,UG,fig
Lycopene,0.0,UG,fig
Lutein + zeaxanthin,6.0,UG,fig
"Vitamin C, total ascorbic acid",1.2,MG,fig
Thiamin,0.036,MG,fig
Riboflavin,0.037,MG,fig
Niacin,0.27,MG,fig
Vitamin B-6,0.081,MG,fig
"Folate, total",3.0,UG,fig
Vitamin B-12,0.0,UG,fig
"Choline, total",3.5,MG,fig
Vitamin K (phylloquinone),3.5,UG,fig
Folic acid,0.0,UG,fig
"Folate, food",3.0,UG,fig
"Folate, DFE",3.0,UG,fig
"Vitamin E, added",0.0,MG,fig
"Vitamin B-12, added",0.0,UG,fig
Cholesterol,0.0,MG,fig
"Fatty acids, total saturated",0.045,G,fig
SFA 4:0,0.0,G,fig
SFA 6:0,0.0,G,fig
SFA 8:0,0.0,G,fig
SFA 10:0,0.0,G,fig
SFA 12:0,0.0,G,fig
SFA 14:0,0.002,G,fig
SFA 16:0,0.034,G,fig
SFA 18:0,0.009,G,fig
MUFA 18:1,0.05,G,fig
PUFA 18:2,0.108,G,fig
PUFA 18:3,0.0,G,fig
PUFA 20:4,0.0,G,fig
PUFA 22:6 n-3 (DHA),0.0,G,fig
MUFA 16:1,0.0,G,fig
PUFA 18:4,0.0,G,fig
MUFA 20:1,0.0,G,fig
PUFA 20:5 n-3 (EPA),0.0,G,fig
MUFA 22:1,0.0,G,fig
PUFA 22:5 n-3 (DPA),0.0,G,fig
"Fatty acids, total monounsaturated",0.05,G,fig
"Fatty acids, total polyunsaturated",0.108,G,fig
"Tocotrienol, delta",0.0,MG,fish
"Tocotrienol, beta",0.0,MG,fish
MUFA 15:1,0.0,G,fish
SFA 6:0,0.0,G,fish
Caffeine,0.0,MG,fish
Theobromine,0.0,MG,fish
SFA 20:0,0.044,G,fish
MUFA 18:1,3.05,G,fish
PUFA 18:2,7.42,G,fish
PUFA 18:3,0.248,G,fish
PUFA 20:4,0.007,G,fish
PUFA 18:4,0.002,G,fish
MUFA 20:1,0.049,G,fish
MUFA 22:1,0.002,G,fish
"Fatty acids, total monounsaturated",3.19,G,fish
"Fatty acids, total polyunsaturated",7.82,G,fish
SFA 15:0,0.005,G,fish
TFA 18:1 t,0.013,G,fish
TFA 22:1 t,0.001,G,fish
TFA 18:2 t not further defined,0.108,G,fish
PUFA 18:2 CLAs,0.024,G,fish
"PUFA 20:2 n-6 c,c",0.003,G,fish
MUFA 16:1 c,0.08,G,fish
"PUFA 18:3 n-6 c,c,c",0.011,G,fish
PUFA 20:3,0.001,G,fish
"Fatty acids, total trans-polyenoic",0.11,G,fish
PUFA 20:4 n-6,0.0,G,fish
"Sugars, Total",1.65,G,fish
"Calcium, Ca",16.0,MG,fish
"Potassium, K",185,MG,fish
"Zinc, Zn",0.42,MG,fish
"Selenium, Se",15.7,UG,fish
Vitamin E (alpha-tocopherol),6.88,MG,fish
"Vitamin D (D2 + D3), International Units",1.0,IU,fish
Vitamin D2 (ergocalciferol),0.0,UG,fish
Lutein + zeaxanthin,42.0,UG,fish
"Tocopherol, beta",0.13,MG,fish
"Tocopherol, gamma",5.42,MG,fish
"Tocotrienol, alpha",0.03,MG,fish
SFA 10:0,0.007,G,fish
SFA 16:0,3.08,G,fish
SFA 18:0,0.408,G,fish
Niacin,1.54,MG,fish
Pantothenic acid,0.272,MG,fish
Vitamin B-6,0.078,MG,fish
"Choline, total",42.8,MG,fish
Vitamin K (Menaquinone-4),0.0,UG,fish
Folic acid,0.0,UG,fish
"Folate, DFE",24.0,UG,fish
Betaine,18.5,MG,fish
Isoleucine,0.429,G,fish
Leucine,0.852,G,fish
Lysine,0.795,G,fish
Valine,0.5,G,fish
Arginine,0.592,G,fish
Histidine,0.23,G,fish
Aspartic acid,0.816,G,fish
Serine,0.49,G,fish
"Vitamin E, added",0.0,MG,fish
SFA 4:0,0.004,G,fish
Total lipid (fat),16.2,G,fish
"Carbohydrate, by difference",21.7,G,fish
Energy,1160.0,kJ,fish
Sucrose,0.56,G,fish
Glucose,0.3,G,fish
Maltose,0.58,G,fish
Water,49.5,G,fish
Cholesterol,28.0,MG,fish
"Fatty acids, total trans",0.124,G,fish
"Fatty acids, total saturated",3.73,G,fish
SFA 8:0,0.006,G,fish
SFA 12:0,0.004,G,fish
"Vitamin C, total ascorbic acid",0.0,MG,fish
Thiamin,0.122,MG,fish
Riboflavin,0.116,MG,fish
"Folate, total",24.0,UG,fish
Vitamin B-12,0.96,UG,fish
Vitamin K (Dihydrophylloquinone),0.0,UG,fish
Vitamin K (phylloquinone),4.7,UG,fish
"Folate, food",24.0,UG,fish
Tryptophan,0.122,G,fish
Threonine,0.372,G,fish
Methionine,0.296,G,fish
Phenylalanine,0.47,G,fish
Tyrosine,0.286,G,fish
Alanine,0.546,G,fish
Glutamic acid,2.32,G,fish
Glycine,0.474,G,fish
Proline,0.783,G,fish
Hydroxyproline,0.002,G,fish
Protein,11.0,G,fish
Ash,1.61,G,fish
Starch,20.5,G,fish
Fructose,0.1,G,fish
Lactose,0.12,G,fish
"Alcohol, ethyl",0.0,G,fish
Galactose,0.0,G,fish
"Fiber, total dietary",1.5,G,fish
"Iron, Fe",0.84,MG,fish
"Magnesium, Mg",25.0,MG,fish
"Phosphorus, P",191,MG,fish
"Sodium, Na",402,MG,fish
"Copper, Cu",0.059,MG,fish
"Manganese, Mn",0.182,MG,fish
"Vitamin A, IU",18.0,IU,fish
Retinol,3.0,UG,fish
"Vitamin A, RAE",4.0,UG,fish
"Carotene, beta",3.0,UG,fish
"Carotene, alpha",0.0,UG,fish
Vitamin D3 (cholecalciferol),0.0,UG,fish
Vitamin D (D2 + D3),0.0,UG,fish
"Cryptoxanthin, beta",2.0,UG,fish
Lycopene,0.0,UG,fish
"Tocopherol, delta",0.63,MG,fish
"Tocotrienol, gamma",0.03,MG,fish
SFA 14:0,0.116,G,fish
PUFA 22:6 n-3 (DHA),0.088,G,fish
SFA 22:0,0.025,G,fish
MUFA 16:1,0.08,G,fish
PUFA 20:5 n-3 (EPA),0.05,G,fish
PUFA 22:5 n-3 (DPA),0.004,G,fish
SFA 17:0,0.014,G,fish
SFA 24:0,0.015,G,fish
TFA 16:1 t,0.0,G,fish
MUFA 24:1 c,0.002,G,fish
MUFA 18:1 c,3.04,G,fish
"PUFA 18:2 n-6 c,c",7.29,G,fish
MUFA 22:1 c,0.002,G,fish
MUFA 17:1,0.008,G,fish
"Fatty acids, total trans-monoenoic",0.014,G,fish
"PUFA 18:3 n-3 c,c,c (ALA)",0.236,G,fish
PUFA 20:3 n-3,0.001,G,fish
PUFA 18:3i,0.002,G,fish
PUFA 22:4,0.0,G,fish
"Vitamin B-12, added",0.0,UG,fish
"Phosphorus, P",229,MG,flat bread
Thiamin,0.245,MG,flat bread
Riboflavin,0.414,MG,flat bread
Retinol,0.0,UG,flat bread
"Copper, Cu",0.205,MG,flat bread
"Manganese, Mn",0.028,MG,flat bread
Tryptophan,0.147,G,flat bread
Threonine,0.638,G,flat bread
Methionine,0.422,G,flat bread
Phenylalanine,0.635,G,flat bread
Tyrosine,0.475,G,flat bread
Alanine,0.865,G,flat bread
Glutamic acid,2.17,G,flat bread
Glycine,0.7,G,flat bread
Proline,0.902,G,flat bread
SFA 8:0,0.0,G,flat bread
SFA 12:0,0.0,G,flat bread
SFA 14:0,0.002,G,flat bread
SFA 22:0,0.0,G,flat bread
MUFA 14:1,0.0,G,flat bread
MUFA 16:1,0.024,G,flat bread
SFA 17:0,0.001,G,flat bread
MUFA 17:1,0.0,G,flat bread
MUFA 15:1,0.0,G,flat bread
"Folate, total",12.0,UG,flat bread
Vitamin B-12,6.12,UG,flat bread
"Selenium, Se",31.5,UG,flat bread
Niacin,6.79,MG,flat bread
Pantothenic acid,2.48,MG,flat bread
Vitamin B-6,0.582,MG,flat bread
Isoleucine,0.723,G,flat bread
Leucine,1.23,G,flat bread
Lysine,1.31,G,flat bread
Cystine,0.161,G,flat bread
Valine,0.741,G,flat bread
Arginine,1.0,G,flat bread
Histidine,0.487,G,flat bread
Aspartic acid,1.94,G,flat bread
Serine,0.529,G,flat bread
SFA 10:0,0.0,G,flat bread
SFA 16:0,0.12,G,flat bread
SFA 18:0,0.064,G,flat bread
SFA 20:0,0.0,G,flat bread
MUFA 18:1,0.269,G,flat bread
PUFA 18:2,0.077,G,flat bread
PUFA 18:3,0.004,G,flat bread
PUFA 20:4,0.021,G,flat bread
MUFA 20:1,0.002,G,flat bread
SFA 15:0,0.0,G,flat bread
"PUFA 20:2 n-6 c,c",0.001,G,flat bread
"PUFA 18:3 n-6 c,c,c",0.0,G,flat bread
PUFA 20:3,0.0,G,flat bread
Vitamin E (alpha-tocopherol),0.22,MG,flat bread
Energy,425,kJ,flat bread
Folic acid,0.0,UG,flat bread
"Folate, DFE",12.0,UG,flat bread
"Fatty acids, total monounsaturated",0.295,G,flat bread
"Fatty acids, total polyunsaturated",0.102,G,flat bread
"Vitamin A, IU",0.0,IU,flat bread
"Vitamin A, RAE",0.0,UG,flat bread
Hydroxyproline,0.146,G,flat bread
"Folate, food",12.0,UG,flat bread
"Fatty acids, total saturated",0.187,G,flat bread
Lutein + zeaxanthin,0.0,UG,flat bread
Total lipid (fat),0.74,G,flat bread
"Carbohydrate, by difference",0.0,G,flat bread
Water,75.4,G,flat bread
