iter	Passed	Remaining
411	3704	5286
412	3713	5277
413	3720	5266
414	3729	5257
415	3737	5247
416	3746	5237
417	3753	5226
418	3762	5216
419	3769	5205
420	3778	5196
421	3786	5186
422	3796	5178
423	3804	5167
424	3812	5158
425	3820	5147
426	3827	5136
427	3835	5125
428	3844	5116
429	3851	5105
430	3860	5096
431	3867	5085
432	3875	5074
433	3882	5062
434	3889	5052
435	3897	5041
436	3904	5030
437	3912	5019
438	3919	5009
439	3928	4999
440	3936	4990
441	3944	4979
442	3952	4970
443	3961	4960
444	3970	4951
445	3978	4942
446	3987	4932
447	3995	4922
448	4003	4913
449	4011	4903
450	4019	4893
451	4028	4883
452	4036	4874
453	4044	4863
454	4052	4854
455	4060	4843
456	4068	4834
457	4076	4824
458	4085	4815
459	4092	4804
460	4101	4795
461	4109	4785
462	4118	4776
463	4126	4766
464	4134	4757
465	4142	4747
466	4151	4738
467	4160	4729
468	4168	4719
469	4176	4709
470	4185	4700
471	4193	4690
472	4201	4680
473	4208	4670
474	4217	4661
475	4224	4650
476	4233	4642
477	4241	4631
478	4249	4622
479	4257	4612
480	4265	4602
481	4273	4592
482	4282	4583
483	4289	4573
484	4298	4563
485	4305	4553
486	4314	4545
487	4323	4536
488	4332	4527
489	4341	4519
490	4352	4511
491	4360	4502
492	4368	4492
493	4376	4483
494	4385	4473
495	4394	4465
496	4402	4455
497	4411	4446
498	4418	4436
499	4427	4427
500	4435	4417
501	4444	4409
502	4452	4399
503	4461	4390
504	4468	4380
505	4477	4371
506	4485	4361
507	4494	4353
508	4502	4343
509	4511	4334
510	4519	4325
511	4528	4316
512	4536	4307
513	4546	4298
514	4555	4290
515	4563	4280
516	4572	4272
517	4580	4261
518	4587	4252
519	4595	4241
520	4603	4232
521	4610	4222
522	4618	4212
523	4626	4202
524	4633	4192
525	4641	4183
526	4649	4172
527	4657	4163
528	4664	4152
529	4671	4142
530	4679	4133
531	4688	4124
532	4695	4113
533	4703	4104
534	4710	4094
535	4718	4084
536	4727	4075
537	4735	4066
538	4743	4056
539	4752	4048
540	4759	4038
541	4768	4029
542	4775	4019
543	4783	4009
544	4790	3999
545	4798	3989
546	4806	3980
547	4815	3971
548	4822	3961
549	4830	3952
550	4838	3943
551	4847	3933
552	4854	3924
553	4864	3916
554	4873	3907
555	4883	3899
556	4891	3890
557	4900	3881
558	4907	3871
559	4916	3863
560	4924	3853
561	4932	3844
562	4941	3835
563	4949	3825
564	4956	3816
565	4965	3807
566	4973	3798
567	4982	3789
568	4990	3780
569	4999	3771
570	5006	3761
571	5015	3752
572	5022	3742
573	5030	3733
574	5038	3723
575	5046	3714
576	5054	3705
577	5062	3696
578	5071	3687
579	5080	3678
580	5088	3669
581	5097	3661
582	5106	3652
583	5116	3644
584	5124	3635
585	5131	3625
586	5140	3616
587	5148	3607
588	5157	3598
589	5165	3589
590	5174	3580
591	5182	3571
592	5191	3563
593	5199	3553
594	5207	3544
595	5215	3535
596	5223	3526
597	5232	3517
598	5241	3508
599	5249	3499
600	5257	3490
601	5266	3481
602	5275	3473
603	5285	3465
604	5294	3456
605	5303	3447
606	5311	3438
607	5320	3430
608	5327	3420
609	5335	3411
610	5343	3401
611	5351	3392
612	5359	3383
613	5368	3374
614	5376	3365
615	5385	3357
616	5395	3348
617	5403	3340
618	5412	3331
619	5420	3322
620	5428	3312
621	5436	3303
622	5444	3294
623	5453	3286
624	5461	3277
625	5470	3268
626	5479	3259
627	5488	3251
628	5497	3242
629	5505	3233
630	5513	3224
631	5521	3215
632	5530	3206
633	5538	3197
634	5547	3188
635	5555	3179
636	5564	3171
637	5572	3161
638	5581	3153
639	5589	3144
640	5598	3135
641	5606	3126
642	5617	3118
643	5626	3110
644	5633	3100
645	5642	3092
646	5650	3082
647	5658	3074
648	5667	3064
649	5675	3056
650	5683	3047
651	5692	3038
652	5700	3029
653	5708	3020
654	5716	3011
655	5724	3001
656	5731	2992
657	5740	2983
658	5749	2974
659	5757	2966
660	5765	2956
661	5774	2948
662	5781	2938
663	5789	2929
664	5797	2920
665	5806	2912
666	5828	2909
667	5838	2901
668	5847	2893
669	5856	2884
670	5863	2875
671	5871	2866
672	5879	2856
673	5887	2847
674	5894	2838
675	5902	2829
676	5910	2819
677	5917	2810
678	5925	2801
679	5932	2791
680	5940	2782
681	5947	2773
682	5955	2764
683	5962	2754
684	5971	2745
685	5978	2736
686	5986	2727
687	5994	2718
688	6002	2709
689	6009	2700
690	6018	2691
691	6026	2682
692	6034	2673
693	6042	2664
694	6050	2655
695	6058	2646
696	6066	2637
697	6074	2628
698	6081	2618
699	6089	2609
700	6096	2600
701	6104	2591
702	6112	2582
703	6120	2573
704	6127	2564
705	6135	2555
706	6143	2545
707	6150	2536
708	6157	2527
709	6165	2518
710	6174	2509
711	6182	2500
712	6190	2491
713	6198	2483
714	6206	2473
715	6215	2465
716	6224	2456
717	6233	2448
718	6242	2439
719	6250	2430
720	6258	2421
721	6266	2413
722	6277	2404
723	6286	2396
724	6294	2387
725	6303	2378
726	6311	2370
727	6319	2361
728	6328	2352
729	6336	2343
730	6345	2334
731	6353	2325
732	6362	2317
733	6370	2308
734	6379	2300
735	6388	2291
736	6398	2283
737	6407	2274
738	6415	2265
739	6424	2257
740	6432	2248
741	6441	2239
742	6449	2231
743	6458	2222
744	6466	2213
745	6475	2204
746	6483	2195
747	6492	2187
748	6499	2178
749	6508	2169
750	6517	2160
751	6526	2152
752	6534	2143
753	6543	2134
754	6552	2126
755	6561	2117
756	6570	2109
757	6579	2100
758	6588	2092
759	6596	2083
760	6605	2074
761	6613	2065
762	6622	2057
763	6631	2048
764	6639	2039
765	6648	2031
766	6656	2022
767	6665	2013
768	6673	2004
769	6682	1996
770	6690	1987
771	6699	1978
772	6708	1969
773	6717	1961
774	6725	1952
775	6734	1943
776	6742	1935
777	6751	1926
778	6760	1917
779	6768	1909
780	6776	1900
781	6785	1891
782	6795	1883
783	6805	1874
784	6814	1866
785	6822	1857
786	6831	1848
787	6838	1839
788	6846	1830
789	6854	1821
790	6862	1813
791	6870	1804
792	6879	1795
793	6887	1786
794	6896	1778
795	6903	1769
796	6912	1760
797	6920	1751
798	6929	1743
799	6936	1734
800	6945	1725
801	6953	1716
802	6962	1708
803	6973	1699
804	6982	1691
805	6992	1682
806	7001	1674
807	7010	1665
808	7019	1657
809	7027	1648
810	7035	1639
811	7044	1631
812	7053	1622
813	7062	1613
814	7072	1605
815	7080	1596
816	7090	1588
817	7098	1579
818	7107	1570
819	7115	1561
820	7124	1553
821	7133	1544
822	7142	1536
823	7152	1527
824	7161	1519
825	7170	1510
826	7180	1502
827	7189	1493
828	7198	1484
829	7207	1476
830	7216	1467
831	7225	1459
832	7234	1450
833	7242	1441
834	7251	1433
835	7259	1424
836	7268	1415
837	7277	1406
838	7286	1398
839	7295	1389
840	7304	1380
841	7313	1372
842	7324	1364
843	7333	1355
844	7342	1346
845	7351	1338
846	7360	1329
847	7370	1321
848	7379	1312
849	7388	1303
850	7397	1295
851	7406	1286
852	7415	1277
853	7424	1269
854	7432	1260
855	7440	1251
856	7449	1243
857	7458	1234
858	7467	1225
859	7476	1217
860	7484	1208
861	7494	1199
862	7502	1191
863	7511	1182
864	7520	1173
865	7529	1165
866	7538	1156
867	7548	1147
868	7559	1139
869	7569	1131
870	7579	1122
871	7588	1113
872	7597	1105
873	7607	1096
874	7615	1087
875	7624	1079
876	7632	1070
877	7640	1061
878	7648	1052
879	7656	1044
880	7664	1035
881	7672	1026
882	7681	1017
883	7689	1009
884	7699	1000
885	7709	991
886	7718	983
887	7728	974
888	7737	966
889	7745	957
890	7753	948
891	7760	939
892	7769	930
893	7776	922
894	7784	913
895	7792	904
896	7800	895
897	7808	886
898	7815	878
899	7824	869
900	7831	860
901	7840	851
902	7847	842
903	7855	834
904	7863	825
905	7871	816
906	7879	807
907	7887	799
908	7895	790
909	7903	781
910	7910	772
911	7919	764
912	7928	755
913	7937	746
914	7946	738
915	7954	729
916	7962	720
917	7970	711
918	7978	703
919	7986	694
920	7992	685
921	8001	676
922	8009	668
923	8017	659
924	8024	650
925	8032	641
926	8040	633
927	8048	624
928	8056	615
929	8064	606
930	8071	598
931	8080	589
932	8088	580
933	8096	572
934	8103	563
935	8112	554
936	8120	545
937	8129	537
938	8137	528
939	8145	519
940	8153	511
941	8161	502
942	8169	493
943	8178	485
944	8185	476
945	8193	467
946	8201	458
947	8208	450
948	8215	441
949	8224	432
950	8232	424
951	8240	415
952	8248	406
953	8256	398
954	8264	389
955	8272	380
956	8280	372
957	8288	363
958	8296	354
959	8305	346
960	8313	337
961	8322	328
962	8329	320
963	8338	311
964	8345	302
965	8354	294
966	8362	285
967	8370	276
968	8378	268
969	8387	259
970	8394	250
971	8403	242
972	8410	233
973	8418	224
974	8426	216
975	8434	207
976	8441	198
977	8450	190
978	8459	181
979	8467	172
980	8476	164
981	8484	155
982	8492	146
983	8500	138
984	8508	129
985	8516	120
986	8524	112
987	8532	103
988	8540	94
989	8549	86
990	8557	77
991	8566	69
992	8574	60
993	8582	51
994	8590	43
995	8598	34
996	8605	25
997	8613	17
998	8621	8
999	8630	0
